tgl;gold per troy ounce/Rp
06/10/2000;2.376.000,0
09/10/2000;2.381.400,0
10/10/2000;2.389.867,5
11/10/2000;2.415.201,3
12/10/2000;2.461.890,0
13/10/2000;2.438.756,3
16/10/2000;2.418.596,7
17/10/2000;2.403.873,8
18/10/2000;2.423.520,0
19/10/2000;2.400.938,0
20/10/2000;2.418.498,7
23/10/2000;2.426.083,9
24/10/2000;2.413.561,1
25/10/2000;2.386.524,3
26/10/2000;2.410.919,1
27/10/2000;2.411.130,2
30/10/2000;2.495.268,8
31/10/2000;2.475.720,0
01/11/2000;2.433.307,5
02/11/2000;2.432.645,9
03/11/2000;2.428.162,9
06/11/2000;2.435.140,1
07/11/2000;2.461.185,0
08/11/2000;2.429.058,4
09/11/2000;2.451.981,4
10/11/2000;2.444.564,2
13/11/2000;2.465.752,1
14/11/2000;2.483.905,8
15/11/2000;2.479.962,1
16/11/2000;2.506.979,5
17/11/2000;2.514.570,0
20/11/2000;2.523.101,1
21/11/2000;2.521.105,0
22/11/2000;2.503.139,8
23/11/2000;2.506.879,0
24/11/2000;2.500.151,4
27/11/2000;2.532.675,8
28/11/2000;2.548.327,5
29/11/2000;2.553.757,6
30/11/2000;2.565.867,1
01/12/2000;2.562.783,5
04/12/2000;2.575.710,0
05/12/2000;2.578.014,1
06/12/2000;2.608.716,6
07/12/2000;2.625.330,6
08/12/2000;2.613.495,8
11/12/2000;2.518.863,1
12/12/2000;2.569.417,5
13/12/2000;2.553.110,6
14/12/2000;2.535.457,7
15/12/2000;2.529.122,9
18/12/2000;2.535.826,5
19/12/2000;2.494.683,4
20/12/2000;2.520.162,1
21/12/2000;2.543.925,1
22/12/2000;2.536.414,9
25/12/2000;2.536.414,9
26/12/2000;2.580.793,6
27/12/2000;2.599.220,7
28/12/2000;2.627.858,3
29/12/2000;2.655.303,3
01/01/2001;2.655.303,3
02/01/2001;2.563.249,1
03/01/2001;2.551.281,6
04/01/2001;2.536.113,1
05/01/2001;2.539.630,6
08/01/2001;2.542.140,7
09/01/2001;2.534.497,5
10/01/2001;2.539.834,4
11/01/2001;2.545.084,3
12/01/2001;2.531.651,4
15/01/2001;2.494.027,5
16/01/2001;2.512.274,5
17/01/2001;2.490.075,0
18/01/2001;2.503.304,1
19/01/2001;2.503.304,1
22/01/2001;2.501.809,1
23/01/2001;2.501.338,6
24/01/2001;2.483.950,0
25/01/2001;2.504.628,6
26/01/2001;2.490.545,7
29/01/2001;2.483.931,1
30/01/2001;2.501.127,5
31/01/2001;2.499.525,0
01/02/2001;2.553.380,1
02/02/2001;2.546.984,5
05/02/2001;2.561.592,0
06/02/2001;2.531.114,0
07/02/2001;2.538.344,0
08/02/2001;2.537.335,6
09/02/2001;2.493.089,8
12/02/2001;2.507.211,3
13/02/2001;2.505.807,5
14/02/2001;2.499.050,6
15/02/2001;2.482.078,1
16/02/2001;2.484.392,0
19/02/2001;2.493.314,0
20/02/2001;2.463.459,4
21/02/2001;2.477.278,8
22/02/2001;2.493.759,5
23/02/2001;2.522.457,8
26/02/2001;2.593.177,5
27/02/2001;2.645.436,1
28/02/2001;2.627.661,3
01/03/2001;2.626.209,6
02/03/2001;2.598.111,1
05/03/2001;2.588.250,0
06/03/2001;2.587.076,6
07/03/2001;2.573.917,8
08/03/2001;2.616.725,3
09/03/2001;2.739.817,0
12/03/2001;2.861.250,0
13/03/2001;2.770.421,7
14/03/2001;2.680.714,5
15/03/2001;2.620.498,1
16/03/2001;2.689.120,0
19/03/2001;2.717.013,4
20/03/2001;2.724.041,2
21/03/2001;2.733.970,0
22/03/2001;2.714.653,2
23/03/2001;2.729.695,7
26/03/2001;2.726.879,5
27/03/2001;2.731.350,0
28/03/2001;2.702.957,5
29/03/2001;2.704.908,6
30/03/2001;2.684.589,2
02/04/2001;2.670.198,3
03/04/2001;2.685.408,0
04/04/2001;2.752.764,0
05/04/2001;2.762.958,9
06/04/2001;2.806.683,9
09/04/2001;2.800.696,5
10/04/2001;2.733.963,1
11/04/2001;2.725.177,0
12/04/2001;2.751.290,6
13/04/2001;2.751.290,6
16/04/2001;2.801.196,3
17/04/2001;2.828.268,1
18/04/2001;2.833.111,7
19/04/2001;2.919.092,9
20/04/2001;3.106.832,0
23/04/2001;3.138.068,3
24/04/2001;3.118.654,8
25/04/2001;3.158.047,5
26/04/2001;3.167.006,5
27/04/2001;3.115.663,3
30/04/2001;3.052.538,9
01/05/2001;2.959.440,0
02/05/2001;2.962.838,2
03/05/2001;2.950.378,9
04/05/2001;2.919.268,4
07/05/2001;2.919.268,4
08/05/2001;2.902.613,5
09/05/2001;2.966.437,1
10/05/2001;2.997.243,7
11/05/2001;3.034.209,2
14/05/2001;3.059.188,3
15/05/2001;3.051.235,3
16/05/2001;3.090.290,6
17/05/2001;3.096.200,0
18/05/2001;3.105.375,0
21/05/2001;3.339.181,3
22/05/2001;3.246.412,6
23/05/2001;3.233.855,0
24/05/2001;3.268.119,0
25/05/2001;3.164.443,8
28/05/2001;3.201.737,5
29/05/2001;3.088.400,0
30/05/2001;3.088.045,0
31/05/2001;2.975.937,5
01/06/2001;3.038.828,9
04/06/2001;3.051.425,0
05/06/2001;2.982.482,0
06/06/2001;2.972.272,5
07/06/2001;2.977.657,4
08/06/2001;2.993.737,5
11/06/2001;3.024.652,5
12/06/2001;3.033.000,2
13/06/2001;3.052.638,2
14/06/2001;3.057.688,9
15/06/2001;3.064.971,5
18/06/2001;3.072.240,0
19/06/2001;3.114.024,9
20/06/2001;3.065.235,0
21/06/2001;3.082.436,0
22/06/2001;3.103.319,3
25/06/2001;3.101.507,4
26/06/2001;3.115.928,0
27/06/2001;3.131.343,8
28/06/2001;3.085.101,3
29/06/2001;3.082.132,3
02/07/2001;3.037.720,3
03/07/2001;3.039.957,0
04/07/2001;3.041.272,3
05/07/2001;3.024.366,9
06/07/2001;3.003.581,3
09/07/2001;3.014.778,3
10/07/2001;3.036.091,9
11/07/2001;3.034.014,8
12/07/2001;3.025.165,8
13/07/2001;3.017.743,8
16/07/2001;3.041.955,0
17/07/2001;3.033.244,3
18/07/2001;3.027.899,1
19/07/2001;3.040.602,5
20/07/2001;3.004.457,5
23/07/2001;2.760.892,0
24/07/2001;2.660.625,0
25/07/2001;2.697.419,0
26/07/2001;2.688.375,0
27/07/2001;2.651.518,4
30/07/2001;2.583.108,1
31/07/2001;2.526.049,1
01/08/2001;2.573.242,3
02/08/2001;2.569.875,0
03/08/2001;2.548.591,4
06/08/2001;2.509.007,5
07/08/2001;2.492.639,3
08/08/2001;2.485.511,1
09/08/2001;2.484.000,0
10/08/2001;2.512.536,2
13/08/2001;2.356.378,8
14/08/2001;2.329.132,5
15/08/2001;2.416.195,0
16/08/2001;2.414.124,2
17/08/2001;2.427.687,1
20/08/2001;2.358.440,4
21/08/2001;2.360.291,1
22/08/2001;2.376.446,5
23/08/2001;2.398.065,0
24/08/2001;2.371.994,3
27/08/2001;2.382.906,3
28/08/2001;2.447.579,7
29/08/2001;2.496.576,2
30/08/2001;2.428.914,3
31/08/2001;2.419.462,5
03/09/2001;2.456.731,8
04/09/2001;2.447.975,2
05/09/2001;2.456.619,7
06/09/2001;2.448.448,2
07/09/2001;2.503.438,7
10/09/2001;2.463.862,5
11/09/2001;2.608.830,0
12/09/2001;2.522.160,0
13/09/2001;2.550.975,6
14/09/2001;2.603.182,5
17/09/2001;2.731.623,8
18/09/2001;2.771.004,1
19/09/2001;2.767.199,1
20/09/2001;2.724.882,5
21/09/2001;2.753.887,5
24/09/2001;2.724.930,5
25/09/2001;2.741.040,0
26/09/2001;2.808.120,3
27/09/2001;2.803.088,6
28/09/2001;2.845.266,8
01/10/2001;2.920.528,5
02/10/2001;2.931.081,5
03/10/2001;2.873.439,1
04/10/2001;2.823.652,3
05/10/2001;2.872.687,5
08/10/2001;2.965.924,1
09/10/2001;2.900.000,0
10/10/2001;2.867.191,8
11/10/2001;2.800.882,9
12/10/2001;2.809.544,1
15/10/2001;2.808.633,8
16/10/2001;2.810.998,5
17/10/2001;2.819.518,5
18/10/2001;2.819.835,0
19/10/2001;2.816.622,5
22/10/2001;2.790.037,8
23/10/2001;2.807.426,5
24/10/2001;2.818.365,0
25/10/2001;2.840.325,0
26/10/2001;2.844.585,0
29/10/2001;2.861.220,5
30/10/2001;2.916.159,0
31/10/2001;2.919.906,3
01/11/2001;2.953.313,5
02/11/2001;2.987.931,5
05/11/2001;3.039.881,3
06/11/2001;3.022.422,7
07/11/2001;2.981.689,2
08/11/2001;2.931.076,0
09/11/2001;2.885.130,5
12/11/2001;2.970.940,0
13/11/2001;2.952.328,8
14/11/2001;2.961.971,3
15/11/2001;2.926.655,7
16/11/2001;2.919.307,5
19/11/2001;2.892.634,5
20/11/2001;2.875.527,7
21/11/2001;2.848.030,0
22/11/2001;2.877.512,5
23/11/2001;2.866.183,0
26/11/2001;2.821.408,5
27/11/2001;2.850.517,0
28/11/2001;2.853.759,0
29/11/2001;2.861.215,6
30/11/2001;2.883.107,5
03/12/2001;2.889.237,7
04/12/2001;2.896.000,5
05/12/2001;2.879.250,0
06/12/2001;2.855.318,0
07/12/2001;2.841.045,0
10/12/2001;2.791.935,0
11/12/2001;2.766.912,5
12/12/2001;2.741.837,5
13/12/2001;2.773.677,0
14/12/2001;2.824.522,8
17/12/2001;2.831.661,3
18/12/2001;2.831.720,3
19/12/2001;2.812.970,8
20/12/2001;2.793.440,3
21/12/2001;2.819.400,0
24/12/2001;2.827.725,0
25/12/2001;2.827.725,0
26/12/2001;2.827.031,3
27/12/2001;2.891.550,7
28/12/2001;2.896.337,5
31/12/2001;2.875.600,0
01/01/2002;2.875.600,0
02/01/2002;2.899.013,7
03/01/2002;2.892.548,0
04/01/2002;2.892.766,3
07/01/2002;2.890.473,5
08/01/2002;2.904.403,5
09/01/2002;2.929.060,5
10/01/2002;2.991.844,0
11/01/2002;2.980.658,3
14/01/2002;2.979.470,2
15/01/2002;2.952.127,0
16/01/2002;2.955.711,8
17/01/2002;2.962.717,5
18/01/2002;2.944.005,1
21/01/2002;2.931.683,5
22/01/2002;2.932.048,7
23/01/2002;2.919.800,0
24/01/2002;2.921.548,3
25/01/2002;2.911.365,0
28/01/2002;2.898.452,0
29/01/2002;2.860.979,5
30/01/2002;2.906.487,5
31/01/2002;2.911.922,5
01/02/2002;2.931.266,5
04/02/2002;2.964.530,0
05/02/2002;3.008.690,2
06/02/2002;3.092.337,5
07/02/2002;3.075.865,0
08/02/2002;3.119.073,0
11/02/2002;3.040.027,5
12/02/2002;3.041.306,5
13/02/2002;3.029.761,5
14/02/2002;3.058.770,0
15/02/2002;3.072.561,5
18/02/2002;3.043.375,8
19/02/2002;3.019.852,5
20/02/2002;2.967.471,1
21/02/2002;2.981.389,8
22/02/2002;2.990.441,3
25/02/2002;2.971.320,6
26/02/2002;2.993.484,5
27/02/2002;3.028.274,5
28/02/2002;3.013.026,0
01/03/2002;2.983.539,0
04/03/2002;2.997.196,2
05/03/2002;2.973.531,1
06/03/2002;2.913.828,0
07/03/2002;2.893.267,5
08/03/2002;2.895.836,3
11/03/2002;2.895.983,5
12/03/2002;2.927.190,5
13/03/2002;2.924.170,3
14/03/2002;2.904.719,5
15/03/2002;2.901.546,6
18/03/2002;2.911.590,5
19/03/2002;2.920.740,0
20/03/2002;2.886.978,8
21/03/2002;2.889.442,5
22/03/2002;2.891.006,3
25/03/2002;2.889.178,0
26/03/2002;2.835.156,1
27/03/2002;2.888.340,0
28/03/2002;2.961.254,0
29/03/2002;2.961.254,0
01/04/2002;2.938.649,1
02/04/2002;2.970.080,0
03/04/2002;2.977.509,4
04/04/2002;2.912.913,0
05/04/2002;2.874.550,0
08/04/2002;2.868.395,7
09/04/2002;2.886.935,0
10/04/2002;2.854.840,0
11/04/2002;2.877.413,1
12/04/2002;2.866.839,4
15/04/2002;2.819.438,1
16/04/2002;2.813.737,5
17/04/2002;2.837.014,1
18/04/2002;2.856.907,5
19/04/2002;2.822.280,9
22/04/2002;2.840.050,1
23/04/2002;2.854.460,5
24/04/2002;2.836.664,5
25/04/2002;2.878.932,5
26/04/2002;2.852.911,6
29/04/2002;2.887.952,0
30/04/2002;2.875.505,5
01/05/2002;2.876.133,3
02/05/2002;2.872.982,6
03/05/2002;2.890.289,1
06/05/2002;2.883.769,6
07/05/2002;2.898.480,0
08/05/2002;2.884.545,0
09/05/2002;2.867.670,9
10/05/2002;2.889.026,8
13/05/2002;2.882.827,8
14/05/2002;2.858.867,1
15/05/2002;2.848.690,2
16/05/2002;2.837.413,7
17/05/2002;2.823.352,7
20/05/2002;2.815.960,0
21/05/2002;2.847.831,6
22/05/2002;2.874.510,2
23/05/2002;2.836.905,9
24/05/2002;2.874.909,2
27/05/2002;2.850.043,5
28/05/2002;2.839.373,1
29/05/2002;2.894.390,8
30/05/2002;2.882.818,0
31/05/2002;2.840.602,2
03/06/2002;2.790.795,8
04/06/2002;2.825.088,7
05/06/2002;2.873.850,0
06/06/2002;2.931.483,2
07/06/2002;2.903.327,1
10/06/2002;2.815.425,0
11/06/2002;2.779.918,3
12/06/2002;2.793.016,3
13/06/2002;2.789.062,5
14/06/2002;2.789.384,7
17/06/2002;2.761.044,7
18/06/2002;2.755.318,0
19/06/2002;2.765.605,4
20/06/2002;2.771.402,9
21/06/2002;2.784.900,6
